"Members – Detailed Contract Expenditures Report – Shanahan, Brenda – Q2 2021"
Supplier,Description,Date,Total
Our Lady of Perpetual Help Parish,Advertising,2019/12/18,480.0000
FABRIQUE DE LA PAROISSE SAINT-REMI,Office Rental and Related Fees,2020/02/01,500.0000
FABRIQUE DE LA PAROISSE SAINT-REMI,Office Rental and Related Fees,2020/03/01,500.0000
S.A.V.C.,Other Training and Conferences,2020/03/11,30.0000
L'entreprise Hamel,Janitorial Services and Maintenance,2020/03/13,80.0000
FABRIQUE DE LA PAROISSE SAINT-REMI,Office Rental and Related Fees,2020/04/01,500.0000
D.C.Q. 2020-2021,Advertising,2020/04/09,250.0000
FABRIQUE DE LA PAROISSE SAINT-REMI,Office Rental and Related Fees,2020/05/01,500.0000
Bell Canada,Cable and Internet Fees,2020/05/10,150.6500
SOCIETE DU MUSEE DU GRAND CHATEAUGUAY,Advertising,2020/05/18,250.0000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8100
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
Facebook,Advertising,2020/05/30,19.4400
FABRIQUE DE LA PAROISSE SAINT-REMI,Office Rental and Related Fees,2020/06/01,500.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,25.5000
Icimédias Inc.,Advertising,2020/06/03,525.0000
Bell Canada,Cable and Internet Fees,2020/06/10,144.9000
GraVité Média,Advertising,2020/06/13,636.7500
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Club Optimiste de Léry Inc.,Advertising,2020/06/17,250.0000
GraVité Média,Advertising,2020/06/27,445.0000
Facebook,Advertising,2020/06/29,30.0000
Grand & Toy,Bulk Paper Purchases,2020/06/30,6.7300
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,71.5300
Grand & Toy,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/06/30,20.0000
IMPRIMERIE RESSOURCES ILLIMITÉES,Postage and Parcel Post,2020/06/30,108.9200
IMPRIMERIE RESSOURCES ILLIMITÉES,"Householders ",2020/06/30,4995.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,12.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,185.8400
FABRIQUE DE LA PAROISSE SAINT-REMI,Office Rental and Related Fees,2020/07/01,500.0000
Facebook,Advertising,2020/07/01,5.2600
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5200
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,29.7500
Purolator Inc.,Courier Services,2020/07/03,5.1200
Facebook,Advertising,2020/07/04,30.0000
GraVité Média,Advertising,2020/07/04,445.0000
Éducaloi,Advertising,2020/07/06,250.0000
Société d'Histoire des XI,Advertising,2020/07/07,350.0000
Espace Châteauguay,Advertising,2020/07/09,500.0000
Bell Canada,Cable and Internet Fees,2020/07/10,151.8100
GraVité Média,Advertising,2020/07/11,890.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,15.4900
COMITÉ CHÔMAGE DU HAUT-RICHELIEU,Advertising,2020/07/16,250.0000
O-Ké-Bel,Spring Water,2020/07/16,4.0000
TECHNISÉCUR ÉLECTRONIQUE,Protection and Alarm Monitoring (Member's Office Budget),2020/07/16,154.0000
CHOEUR LA BOHEME INC.,Advertising,2020/07/17,250.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,1.3800
Facebook,Advertising,2020/07/30,11.6500
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,133.1400
Grand & Toy,Cleaning Products,2020/07/31,62.2400
Grand & Toy,Bulk Paper Purchases,2020/07/31,44.7000
Purolator Inc.,Courier Services,2020/07/31,10.3400
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,4.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,205.8400
FABRIQUE DE LA PAROISSE SAINT-REMI,Office Rental and Related Fees,2020/08/01,500.0000
"LEE, JAMES",Office Rental and Related Fees,2020/08/01,2180.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,16.7900
