"Members – Detailed Contract Expenditures Report – Sidhu, Maninder – Q2 2021"
Supplier,Description,Date,Total
"Facebook ",Advertising,2020/04/06,250.6200
PAKISTAN POST,Advertising,2020/04/10,37.5000
"Facebook ",Advertising,2020/04/27,300.0000
"Facebook ",Advertising,2020/04/30,155.8500
"Facebook ",Advertising,2020/05/16,500.5900
"Facebook ",Advertising,2020/05/19,500.0000
"Facebook ",Advertising,2020/05/24,750.0000
Improve Art Inc.,Professional Communication Services,2020/05/26,850.0000
Improve Art Inc.,Professional Communication Services,2020/05/26,250.0000
Improve Art Inc.,External Printing Costs,2020/05/26,100.0000
Improve Art Inc.,Professional Communication Services,2020/05/26,175.0000
Improve Art Inc.,Professional Communication Services,2020/05/26,175.0000
Micro Printing Ltd.,Constituency Mail,2020/05/26,2100.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,168.7900
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Zoom,Photography and Video Services,2020/06/18,200.0000
"Staples ",Cleaning Products,2020/06/19,25.9700
Gujarat Weekly Inc.,Advertising,2020/06/26,90.0000
Costco,Consumable Items for Constituency Offices (COVID19),2020/06/27,86.9700
"Amazon ",Consumable Items for Constituency Offices (COVID19),2020/06/29,29.9800
"Bajwa, Jasmeet",Consumable Items for Constituency Offices (COVID19),2020/06/29,1000.0000
"Dodge Chemical Company (Canada) Ltd, The",Consumable Items for Constituency Offices (COVID19),2020/06/30,160.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5200
Rogers,Cable and Internet Fees,2020/07/01,214.9900
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,149.2500
Rogers Wireless – Rogers sans-fil,Long Distance,2020/07/01,9.7500
Improve Art Inc.,Professional Communication Services,2020/07/06,250.0000
Improve Art Inc.,Professional Communication Services,2020/07/06,500.0000
PARVASI WEEKLY INC.,Advertising,2020/07/06,500.0000
ASIAN WORLD TODAY INC.,Advertising,2020/07/07,500.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,3.2000
CANADIAN PUNJABI POST,Advertising,2020/07/16,300.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.0400
Cambrian Springs,Spring Water,2020/07/31,13.9900
MONTEREY PARK INC.,Office Rental and Related Fees,2020/08/01,3622.6700
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,203.7500
Improve Art Inc.,Photography and Video Services,2020/08/06,850.0000
"Dodge Chemical Company (Canada) Ltd, The",Consumable Items for Constituency Offices (COVID19),2020/08/07,128.0000
Micro Printing Ltd.,External Printing Costs,2020/08/10,400.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
"Rogers ",Cable and Internet Fees,2020/08/24,214.9900
Micro Printing Ltd.,External Printing Costs,2020/08/26,500.0000
"Cambrian Springs ",Spring Water,2020/08/31,13.9900
MONTEREY PARK INC.,Office Rental and Related Fees,2020/09/01,3622.6700
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0500
Canada Post – Postes Canada,Courier Services,2020/09/23,21.9700
Improve Art Inc.,Photography and Video Services,2020/09/24,750.0000
MONTEREY PARK INC.,Office Rental and Related Fees,2020/10/01,3622.6700
