"Members – Detailed Contract Expenditures Report – Simard, Mario – Q2 2021"
Supplier,Description,Date,Total
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,46.7500
TEll-Tech,Protection and Alarm Monitoring (Member's Office Budget),2020/06/01,26.9000
IGA,"Office Supplies, Stationery and Accessories",2020/06/10,15.7700
Canadian Business Publications,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/11,69.9500
Zoom vidéo communications inc,Cable and Internet Fees,2020/06/11,20.0000
Purolator,Courier Services,2020/06/12,6.2900
Vidéotron,Cable and Internet Fees,2020/06/19,89.9500
Légion Royale Canadienne Kénogamié/Jonquière,Advertising,2020/06/22,500.0000
La Table de la sécurité alimentaire de Jonquière,Advertising,2020/06/23,500.0000
Bell Média Inc.,Advertising,2020/06/28,85.0000
Bell Média Inc.,Advertising,2020/06/28,368.0000
GROUPE TVA INC,Advertising,2020/06/28,462.6100
Kathie Truchon,Janitorial Services and Maintenance,2020/06/30,275.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,161.8400
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,48.0000
"IMMEUBLES SAGUENAY, DIVISION DE TEGESCOINC., LES","Repair of Heating, Air Conditioning and Refrigeration Equipment",2020/07/01,145.5000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,46.7500
Tell-Tech,Protection and Alarm Monitoring (Member's Office Budget),2020/07/01,26.9000
Camping de Jonquiere Inc.,Advertising,2020/07/03,250.0000
Zoom Video Communications Inc,Licence Renewal,2020/07/11,20.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,61.1500
Jean Coutu,"Office Supplies, Stationery and Accessories",2020/07/14,7.4900
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.3500
Vidéotron,Cable and Internet Fees,2020/07/24,370.7500
Canadian Tire Jonquière,"Office Supplies, Stationery and Accessories",2020/07/28,31.4600
Fondation pour l'enfance et la jeunesse,Advertising,2020/07/28,500.0000
Les Jardins de Sophie,Public Meeting Room Rentals,2020/07/30,175.0000
Groupe Performance Stratégique inc.,Research Consultants,2020/07/31,1500.0000
Kathie Truchon,Janitorial Services and Maintenance,2020/07/31,275.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,78.5900
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,161.8400
"IMMEUBLES SAGUENAY, DIVISION DE TEGESCOINC., LES",Office Rental and Related Fees,2020/08/01,2000.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,46.7500
Tell-Tech,Protection and Alarm Monitoring (Member's Office Budget),2020/08/01,26.9000
Librairie Marie-Laura,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/04,39.9500
Produits Sanitaires Belley inc.,Consumable Items for Constituency Offices (COVID19),2020/08/04,97.9400
Association sportive de Sainte-Rose-du-Nord,Advertising,2020/08/10,500.0000
Zoom Video Communications inc.,Licence Renewal,2020/08/11,20.0000
Jean Coutu,"Office Supplies, Stationery and Accessories",2020/08/13,5.3700
Jean Coutu,"Office Supplies, Stationery and Accessories",2020/08/13,4.4700
Maxi,"Office Supplies, Stationery and Accessories",2020/08/13,50.0000
Vidéotron,Cable and Internet Fees,2020/08/21,126.8500
Costco,"Office Supplies, Stationery and Accessories",2020/08/22,59.9700
Produits Sanitaires Belley Inc,Consumable Items for Constituency Offices (COVID19),2020/08/26,918.0000
Services de Développement Professionnels SDP inc,Information Technology (IT) Support Officer,2020/08/28,4300.0000
Kathie Truchon,Janitorial Services and Maintenance,2020/08/29,275.0000
Produits Sanitaires Belley Inc,Consumable Items for Constituency Offices (COVID19),2020/08/31,459.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,161.8400
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,48.0000
Desjardins,Banking Fees and Cheque Orders,2020/09/01,43.7500
"IMMEUBLES SAGUENAY, DIVISION DE TEGESCOINC., LES",Office Rental and Related Fees,2020/09/01,2000.0000
TEll-Tech,Protection and Alarm Monitoring (Member's Office Budget),2020/09/01,26.9000
Bureau en gros,"Office Supplies, Stationery and Accessories",2020/09/05,39.9900
9361-6126 Québec Inc,Constituency Office Reconfigurations and Fixtures (COVID19),2020/09/09,1005.0000
Adobe inc.,Licence Renewal,2020/09/10,31.4900
Zoo Video Communication Inc,Licence Renewal,2020/09/11,20.0000
Groupe Performance Stratégique inc.,Research Consultants,2020/09/16,750.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,7.2500
Canada Post – Postes Canada,Courier Services,2020/09/23,7.8500
Canada Post – Postes Canada,Courier Services,2020/09/23,5.3300
Canada Post – Postes Canada,Courier Services,2020/09/23,8.3800
Canada Post – Postes Canada,Courier Services,2020/09/23,5.4300
Canada Post – Postes Canada,Courier Services,2020/09/23,7.3900
Canada Post – Postes Canada,Courier Services,2020/09/23,5.4300
Canada Post – Postes Canada,Courier Services,2020/09/23,7.3600
Canada Post – Postes Canada,Courier Services,2020/09/23,5.3300
Canada Post – Postes Canada,Courier Services,2020/09/23,14.0400
Canada Post – Postes Canada,Courier Services,2020/09/23,5.3300
"IMMEUBLES SAGUENAY, DIVISION DE TEGESCOINC., LES",Office Rental and Related Fees,2020/10/01,2000.0000
