"Members – Detailed Contract Expenditures Report – Sloan, Derek – Q2 2021"
Supplier,Description,Date,Total
Ignite30,Internet (COVID19),2020/04/01,85.9900
Tweed News Publishing Co. Ltd.,Advertising,2020/04/08,900.0000
Bell Mobility,Internet (COVID19),2020/04/20,102.9500
Vista Radio Ltd,Advertising,2020/04/21,500.0000
My Broadcasting Corp.,Advertising,2020/04/26,199.0000
My Broadcasting Corp.,Advertising,2020/04/26,904.0000
Ignite30,Internet (COVID19),2020/05/01,85.9900
Bell Mobility,Internet (COVID19),2020/05/20,102.9500
Ignite30,Internet (COVID19),2020/06/01,85.9900
Tweed News Publishing Co. Ltd.,Advertising,2020/06/03,105.0000
Nathalie Lachance,External Language Training,2020/06/17,210.0000
Enbridge Gas Inc.,Public Utilities,2020/06/19,33.2600
Bell Mobility,Internet (COVID19),2020/06/20,102.9500
Cogeco Connexion inc.,Cable and Internet Fees,2020/06/20,181.9000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,6.1000
Tweed News Publishing Co. Ltd.,Advertising,2020/06/24,735.0000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,1216.9700
Alarm Systems,Protection and Alarm Monitoring (Member's Office Budget),2020/07/01,47.9500
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,283.3100
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,222.0000
Ignite30,Internet (COVID19),2020/07/01,85.9900
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,47.0100
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,2.1600
Tweed News Publishing Co. Ltd.,Advertising,2020/07/17,324.5000
Bell Mobility,Internet (COVID19),2020/07/20,102.9500
Cogeco Connexion inc.,Cable and Internet Fees,2020/07/20,181.9000
Enbridge Gas Inc.,Public Utilities,2020/07/22,22.5000
Starboard Communications Ltd,Advertising,2020/07/26,506.2400
Starboard Communications Ltd,Advertising,2020/07/26,506.2400
HYDRO ONE NETWORKS INC.,Public Utilities,2020/07/28,85.9000
Zoom Video Communications,Licence Renewal,2020/07/30,20.0000
2416595 Ontario Limited,Office Rental and Related Fees,2020/08/01,2600.0000
Alarm Systems,Protection and Alarm Monitoring (Member's Office Budget),2020/08/01,47.9500
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,222.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,212.9100
"Lucas, Shaune",Office Rental and Related Fees,2020/08/01,525.0000
Tweed News Publishing Co. Ltd.,Advertising,2020/08/19,319.0000
Cogeco Connexion inc.,Cable and Internet Fees,2020/08/20,181.9000
Enbridge Gas Inc.,Public Utilities,2020/08/24,35.3400
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,2.9400
Tweed News Publishing Co. Ltd.,Advertising,2020/08/26,130.0000
HYDRO ONE NETWORKS INC.,Public Utilities,2020/08/27,161.0300
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,71.1600
Grand & Toy,Bulk Paper Purchases,2020/08/31,29.1300
2416595 Ontario Limited,Office Rental and Related Fees,2020/09/01,2600.0000
Alarm Systems,Protection and Alarm Monitoring (Member's Office Budget),2020/09/01,47.9500
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,222.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,251.1100
"Lucas, Shaune",Office Rental and Related Fees,2020/09/01,525.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,46.7700
Canada Post – Postes Canada,Courier Services,2020/09/23,8.3800
Canada Post – Postes Canada,Courier Services,2020/09/30,16.1900
2416595 Ontario Limited,Office Rental and Related Fees,2020/10/01,2600.0000
"Lucas, Shaune",Office Rental and Related Fees,2020/10/01,525.0000
