"Members – Detailed Travel Expenditures Report – Van Bynen, Tony – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0203276,2020/05/12,2020/05/14,,,,,,,362.6200,0.0000,165.7100,1.0000,0,0,528.3300
T0203276,2020/05/12,2020/05/14,"Van Bynen, Tony",Member,To travel to/from constituency and Ottawa,2020/05/12,Newmarket,Ottawa,,,,,,,
T0203276,2020/05/12,2020/05/14,"Van Bynen, Tony",Member,To travel to/from constituency and Ottawa,2020/05/14,Ottawa,Newmarket,,,,,,,
T0203277,2020/07/13,2020/07/17,,,,,,,349.0200,0.0000,178.1700,1.0000,0,0,527.1900
T0203277,2020/07/13,2020/07/17,"Van Bynen, Tony",Member,To travel to/from constituency and Ottawa,2020/07/13,Newmarket,Ottawa,,,,,,,
T0203277,2020/07/13,2020/07/17,"Van Bynen, Tony",Member,To travel to/from constituency and Ottawa,2020/07/17,Ottawa,Newmarket,,,,,,,
200430805,2020/08/01,2020/08/31,,,,,,,0.0000,2200.0000,0.0000,0,0,0,2200.0000
200430805,2020/08/01,2020/08/31,"Van Bynen, Tony",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
200437286,2020/09/01,2020/09/30,,,,,,,0.0000,2200.0000,0.0000,0,0,0,2200.0000
200437286,2020/09/01,2020/09/30,"Van Bynen, Tony",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
T0204837,2020/09/13,2020/09/16,,,,,,,377.4200,0.0000,147.2800,1.0000,0,0,524.7000
T0204837,2020/09/13,2020/09/16,"Van Bynen, Tony",Member,To travel to/from constituency and Ottawa,2020/09/13,Newmarket,Ottawa,,,,,,,
T0204837,2020/09/13,2020/09/16,"Van Bynen, Tony",Member,To travel to/from constituency and Ottawa,2020/09/16,Ottawa,Newmarket,,,,,,,
200442148,2020/10/01,2020/10/31,,,,,,,0.0000,2200.0000,0.0000,0,0,0,2200.0000
200442148,2020/10/01,2020/10/31,"Van Bynen, Tony",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
