"Members – Detailed Contract Expenditures Report – Virani, Arif – Q2 2021"
Supplier,Description,Date,Total
Staples,"Office Supplies, Stationery and Accessories",2020/04/07,54.9500
Zoom,Professional Communication Services,2020/04/17,20.0000
GAZETA,Advertising,2020/04/20,100.0000
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2020/04/21,91.0800
Mailchimp,Professional Communication Services,2020/04/25,72.3700
Protection Plus,Protection and Alarm Monitoring (Member's Office Budget),2020/05/03,83.7000
Amazon,"Office Supplies, Stationery and Accessories",2020/05/12,59.9900
City of Toronto,Cleaning Products,2020/05/15,28.5000
Zoom,Professional Communication Services,2020/05/17,20.0000
Campaign Works,"Householders ",2020/05/19,5830.0000
BELL CANADA,Cable and Internet Fees,2020/05/22,105.9500
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2020/05/22,77.0100
Lakefront graphix technology,Promotional Items,2020/05/25,2800.0000
Mailchimp,Professional Communication Services,2020/05/25,62.6500
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,9.5400
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,632.4300
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,29.7500
BELL CANADA,Cable and Internet Fees,2020/06/10,115.0000
Amazon,Toner,2020/06/12,21.9900
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2020/06/15,27.5100
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Zoom,Professional Communication Services,2020/06/17,20.0000
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2020/06/19,80.4300
West End Phoenix,Advertising,2020/06/19,300.0000
BELL CANADA,Cable and Internet,2020/06/22,105.9500
Blue Pencil,Shredding,2020/06/23,185.0000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,5.5800
Mailchimp,Professional Communication Services,2020/06/25,70.0600
4 OFFICE AUTOMATION LTD.,Photocopier Rental and Related Costs,2020/06/29,51.1700
4 OFFICE AUTOMATION LTD.,Photocopier Rental and Related Costs,2020/06/29,329.2300
Grand & Toy,Cleaning Products,2020/06/30,44.5200
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,114.5500
Grand & Toy,Bulk Paper Purchases,2020/06/30,40.2300
Hi-Rise Newspaper,Advertising,2020/06/30,526.8000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,248.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,30.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5200
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,16.7900
Snapd Bloor West,Advertising,2020/07/01,450.0000
Dollarama,Cleaning Products,2020/07/15,105.9900
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2020/07/15,27.0300
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.2700
BELL CANADA,Internet (COVID19),2020/07/22,105.9500
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/07/22,11.0000
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2020/07/23,142.5900
Protection Plus,Protection and Alarm Monitoring (Member's Office Budget),2020/07/24,83.7000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,75.1200
Bell Mobility – Bell Mobilité,Long Distance,2020/08/01,0.2400
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,248.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,16.7900
"STRODS, JOHN",Office Rental and Related Fees,2020/08/01,2300.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/08/13,1465.0000
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2020/08/14,25.2300
4 OFFICE AUTOMATION LTD.,Constituency Office Reconfigurations and Fixtures (COVID19),2020/08/15,250.0000
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2020/08/20,127.1500
BELL CANADA,Internet (COVID19),2020/08/22,105.9500
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,48.3000
Grand & Toy,Cleaning Products,2020/08/31,87.9100
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,159.7900
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,248.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0500
"STRODS, JOHN",Office Rental and Related Fees,2020/09/01,2300.0000
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2020/09/15,25.1800
Canada Post – Postes Canada,Courier Services,2020/09/23,7.1800
Canada Post – Postes Canada,Courier Services,2020/09/23,5.5900
Canada Post – Postes Canada,Courier Services,2020/09/23,7.0800
Canada Post – Postes Canada,Courier Services,2020/09/23,5.9400
Canada Post – Postes Canada,Courier Services,2020/09/23,7.3800
Canada Post – Postes Canada,Courier Services,2020/09/23,26.1200
Canada Post – Postes Canada,Courier Services,2020/09/23,8.7000
Canada Post – Postes Canada,Courier Services,2020/09/30,5.1400
"STRODS, JOHN",Office Rental and Related Fees,2020/10/01,2300.0000
