"Members – Detailed Contract Expenditures Report – Waugh, Kevin – Q2 2021"
Supplier,Description,Date,Total
LONDON DRUGS,Consumable Items for Constituency Offices (COVID19),2020/06/16,21.6000
SASKTEL,Cable and Internet Fees,2020/06/16,98.4000
Costco,Consumable Items for Constituency Offices (COVID19),2020/06/20,19.9900
CITY OF SASKATOON,Public Utilities,2020/06/21,259.1300
COSTCO,Consumable Items for Constituency Offices (COVID19),2020/06/22,7.4900
WHOLESALE CLUB,Consumable Items for Constituency Offices (COVID19),2020/06/22,48.7400
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,12.6400
SASKENERGY,Public Utilities,2020/06/24,40.9600
Caldaj Group of Companies,Advertising,2020/06/30,500.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,36.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,156.0000
Mailchimp,Professional Communication Services,2020/07/04,82.1100
Shaw Direct,Cable and Internet Fees,2020/07/08,152.5900
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,195.3300
Go Premium Press Reader,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/14,42.3900
SASKTEL,Cable and Internet Fees,2020/07/16,98.4000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,6.7900
SASKENERGY,Public Utilities,2020/07/20,42.9400
CITY OF SASKATOON,Public Utilities,2020/07/22,253.2200
Kenosee Inn & Cabins,Public Meeting Room Rentals,2020/07/29,35.8100
Grand & Toy,Cleaning Products,2020/07/31,38.6800
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,25.6600
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,157.9200
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,64.0000
Bell Mobility – Bell Mobilité,Long Distance,2020/08/01,0.2400
Cave Restaurant (The),Office Rental and Related Fees,2020/08/01,2565.0000
Mail Chimp,Professional Communication Services,2020/08/04,81.3200
Shaw Direct,Cable and Internet Fees,2020/08/08,152.5900
Go Premium Press Reader,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/14,42.3900
Sasktel Sevices,Cable and Internet Fees,2020/08/16,98.4000
Rosewood Community Association,Advertising,2020/08/17,45.0000
Amazon.ca,"Office Supplies, Stationery and Accessories",2020/08/19,483.8400
Amazon.ca,"Office Supplies, Stationery and Accessories",2020/08/19,12.0000
CITY OF SASKATOON,Public Utilities,2020/08/24,36.4800
SASKENERGY,Public Utilities,2020/08/25,38.5000
Don's Photo,"Office Supplies, Stationery and Accessories",2020/08/27,89.9900
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,156.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,34.0000
Cave Restaurant (The),Office Rental and Related Fees,2020/09/01,2565.0000
Holliston Community Association,Advertising,2020/09/01,30.0000
CAPITAL STAMP LTD.,"Office Supplies, Stationery and Accessories",2020/09/03,156.9500
Mail Chimp,Professional Communication Services,2020/09/04,79.5700
Shaw Direct,Cable and Internet Fees,2020/09/08,152.5900
Sasktel Services,Cable and Internet Fees,2020/09/16,98.4000
Costco,"Office Supplies, Stationery and Accessories",2020/09/19,33.9800
Canada Post – Postes Canada,Courier Services,2020/09/23,7.2500
Canada Post – Postes Canada,Courier Services,2020/09/23,94.5700
Canada Post – Postes Canada,Courier Services,2020/09/23,17.5900
SASKENERGY,Public Utilities,2020/09/23,38.5000
Cave Restaurant (The),Office Rental and Related Fees,2020/10/01,2565.0000
