"Members – Detailed Contract Expenditures Report – Wilkinson, Jonathan – Q2 2021"
Supplier,Description,Date,Total
Choice Communication,Advertising,2020/04/21,52.6900
Shaw Business,Cable and Internet Fees,2020/05/24,142.2600
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8100
LMP Publication Limited Partnership,Advertising,2020/05/31,750.0000
LMP Publication Limited Partnership,Advertising,2020/05/31,1186.2900
LMP Publication Limited Partnership,Advertising,2020/05/31,650.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,16.7900
"Rowbotham, Victoria",Subject Matter Expert,2020/06/01,2000.0000
Shaw Business,Cable and Internet Fees,2020/06/01,67.8700
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/06/10,89.9800
"Rowbotham, Victoria",Subject Matter Expert,2020/06/11,3000.0000
Haamyari Media,Advertising,2020/06/12,335.0000
Reyfort Publishing,Advertising,2020/06/15,71.4300
LMP Publication Limited Partnership,Advertising,2020/06/16,1186.2900
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
"Evans, Kevin",Subject Matter Expert,2020/06/22,350.0000
Shaw Business,Cable and Internet Fees,2020/06/24,142.2600
London Drugs,"Office Supplies, Stationery and Accessories",2020/06/25,31.3500
Dollarama,Gifts given as a matter of protocol,2020/06/29,15.5700
Party City,Gifts given as a matter of protocol,2020/06/29,41.0800
Sunflower Marketing,Advertising,2020/06/29,93.7500
Bella Casa Cleaning Services,Janitorial Services and Maintenance,2020/06/30,640.0000
LMP Publication Limited Partnership,Advertising,2020/06/30,1186.2900
LMP Publication Limited Partnership,Advertising,2020/06/30,250.0000
LMP Publication Limited Partnership,Advertising,2020/06/30,1500.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,10.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,241.7800
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5200
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,16.7900
Shaw Business,Cable and Internet Fees,2020/07/01,67.8700
London Drugs,"Office Supplies, Stationery and Accessories",2020/07/04,197.0800
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Repair of Machinery and Office Furniture,2020/07/07,160.5000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,809.0300
"Rowbotham, Victoria",Subject Matter Expert,2020/07/15,3600.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.0400
Shaw Business,Cable and Internet Fees,2020/07/24,142.2600
Purolator,Postage and Parcel Post,2020/07/27,80.8800
LMP Publication Limited Partnership,Advertising,2020/07/28,1186.2900
"Grootes, Suzanne",Janitorial Services and Maintenance,2020/07/31,640.0000
LMP Publication Limited Partnership,Advertising,2020/07/31,258.0000
0973721 BC LTD,Office Rental and Related Fees,2020/08/01,4848.5500
0973721 BC LTD,"Rental of Machinery, Office Furniture and Fixtures, and Other Equipment",2020/08/01,230.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,201.6600
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,12.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,16.7900
Shaw Business,Cable and Internet Fees,2020/08/01,67.8700
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
Brugge Design,Advertising,2020/08/24,82.0000
Shaw Business,Cable and Internet Fees,2020/08/24,142.2600
LMP Publication Limited Partnership,Advertising,2020/08/25,1186.2900
Grand & Toy,Cleaning Products,2020/08/31,32.0700
Grand & Toy,Bulk Paper Purchases,2020/08/31,57.9900
"Grootes, Suzanne",Janitorial Services and Maintenance,2020/08/31,720.0000
0973721 BC LTD,"Rental of Machinery, Office Furniture and Fixtures, and Other Equipment",2020/09/01,230.0000
0973721 BC LTD,Office Rental and Related Fees,2020/09/01,4848.5500
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,201.8000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,18.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0500
Shaw Business,Cable and Internet Fees,2020/09/01,67.8700
Canada Post – Postes Canada,Courier Services,2020/09/23,53.2800
Canada Post – Postes Canada,Courier Services,2020/09/23,24.9400
Canada Post – Postes Canada,Courier Services,2020/09/23,27.5900
Canada Post – Postes Canada,Courier Services,2020/09/23,17.4600
Canada Post – Postes Canada,Courier Services,2020/09/23,16.5100
Canada Post – Postes Canada,Courier Services,2020/09/23,16.5100
Canada Post – Postes Canada,Courier Services,2020/09/23,17.2800
0973721 BC LTD,"Rental of Machinery, Office Furniture and Fixtures, and Other Equipment",2020/10/01,230.0000
0973721 BC LTD,Office Rental and Related Fees,2020/10/01,4848.5500
