"Members – Detailed Contract Expenditures Report – d'Entremont, Chris – Q2 2021"
Supplier,Description,Date,Total
PARSONS INVESTMENTS LIMITED,Office Rental and Related Fees,2020/04/01,1500.0000
PARSONS INVESTMENTS LIMITED,Office Rental and Related Fees,2020/05/01,1500.0000
Go Daddy,Web Site Hosting/Domain Name,2020/05/08,189.8700
EASTLINK,Cable and Internet Fees,2020/05/24,94.9500
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,9.5400
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,632.4300
Shared Services Canada –  Services partagés Canada,Changes - Services and/or Equipment (Telemanagement) - Federal Government Departments,2020/05/25,69.0000
Culligan Nova Scotia,Spring Water,2020/05/29,9.0000
PARSONS INVESTMENTS LIMITED,Office Rental and Related Fees,2020/06/01,1500.0000
"CLARE SHOPPER, THE",Advertising,2020/06/02,585.0000
Bell Aliant,Cable and Internet Fees,2020/06/09,70.3800
PARSONS INVESTMENTS LIMITED,Janitorial Services and Maintenance,2020/06/10,143.7500
As Good As New Cleaning Services,Janitorial Services and Maintenance,2020/06/15,320.0000
"CLARE SHOPPER, THE",Advertising,2020/06/17,70.0000
EASTLINK,Cable and Internet Fees,2020/06/24,94.9500
Culligan Nova Scotia,Spring Water,2020/06/25,49.5000
"CLARE SHOPPER, THE",Advertising,2020/06/29,585.0000
ATLANTIC DOCUSHRED INC.,Shredding,2020/06/30,55.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,58.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,230.8600
PARSONS INVESTMENTS LIMITED,Office Rental and Related Fees,2020/07/01,1500.0000
Bell Aliant,Cable and Internet Fees,2020/07/09,77.6200
"Aurora Newspaper, The",Advertising,2020/07/13,132.2400
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,95.5600
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,4.3000
EASTLINK,Cable and Internet Fees,2020/07/24,94.9500
Staples Canada,"Office Supplies, Stationery and Accessories",2020/07/27,140.4200
As Good As New Cleaning Services,Janitorial Services and Maintenance,2020/07/29,320.0000
ATLANTIC DOCUSHRED INC.,Shredding,2020/07/29,55.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,191.3200
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,190.8600
GATEWAY REALTY,Office Rental and Related Fees,2020/08/01,2172.9200
PARSONS INVESTMENTS LIMITED,Office Rental and Related Fees,2020/08/01,1500.0000
A.F. Therialut and Son Ltd.,Constituency Office Reconfigurations and Fixtures (COVID19),2020/08/05,126.3500
"CLARE SHOPPER, THE",Advertising,2020/08/08,276.2500
Bell Aliant,Cable and Internet Fees,2020/08/09,121.8200
"Aurora Newspaper, The",Advertising,2020/08/10,155.0400
As Good As New Cleaning Services,Janitorial Services and Maintenance,2020/08/29,320.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,156.0800
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,190.8600
GATEWAY REALTY,Office Rental and Related Fees,2020/09/01,2172.9200
PARSONS INVESTMENTS LIMITED,Office Rental and Related Fees,2020/09/01,1500.0000
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/09,239.7800
Canada Post – Postes Canada,Courier Services,2020/09/23,12.0500
Canada Post – Postes Canada,Courier Services,2020/09/23,83.5100
GATEWAY REALTY,Office Rental and Related Fees,2020/10/01,2172.9200
PARSONS INVESTMENTS LIMITED,Office Rental and Related Fees,2020/10/01,1500.0000
